train,val
normal_001,normal_002
normal_004,normal_003
normal_006,normal_007
normal_008,normal_012
normal_009,normal_015
normal_010,normal_018
normal_011,normal_022
normal_013,normal_023
normal_014,normal_026
normal_020,normal_028
normal_024,normal_029
normal_025,normal_032
normal_030,normal_035
normal_031,normal_037
normal_033,normal_039
normal_034,normal_044
normal_036,normal_047
normal_038,normal_053
normal_040,normal_058
normal_041,normal_066
normal_043,normal_068
normal_046,normal_078
normal_048,normal_079
normal_049,normal_083
normal_050,normal_084
normal_051,normal_087
normal_052,normal_088
normal_054,normal_089
normal_055,normal_095
normal_056,normal_100
normal_057,normal_103
normal_059,normal_106
normal_060,normal_109
normal_061,normal_111
normal_062,normal_113
normal_063,normal_114
normal_064,normal_116
normal_065,normal_124
normal_067,normal_133
normal_069,normal_135
normal_070,normal_136
normal_071,normal_139
normal_072,normal_141
normal_073,normal_142
normal_074,normal_144
normal_075,normal_145
normal_076,normal_146
normal_077,normal_152
normal_080,normal_155
normal_081,normal_158
normal_082,tumor_001
normal_085,tumor_004
normal_090,tumor_005
normal_091,tumor_009
normal_092,tumor_011
normal_093,tumor_015
normal_094,tumor_019
normal_096,tumor_020
normal_097,tumor_021
normal_098,tumor_024
normal_099,tumor_025
normal_101,tumor_027
normal_102,tumor_037
normal_104,tumor_043
normal_105,tumor_046
normal_107,tumor_047
normal_108,tumor_048
normal_110,tumor_050
normal_112,tumor_054
normal_115,tumor_060
normal_117,tumor_061
normal_118,tumor_068
normal_119,tumor_071
normal_120,tumor_073
normal_121,tumor_077
normal_122,tumor_080
normal_123,tumor_081
normal_125,tumor_083
normal_126,tumor_086
normal_127,tumor_087
normal_128,tumor_088
normal_129,tumor_089
normal_130,tumor_093
normal_131,tumor_097
normal_132,tumor_106
normal_134,tumor_107
normal_137,tumor_108
normal_138,
normal_140,
normal_143,
normal_147,
normal_148,
normal_149,
normal_150,
normal_151,
normal_153,
normal_154,
normal_156,
normal_157,
normal_159,
normal_160,
tumor_002,
tumor_003,
tumor_006,
tumor_007,
tumor_008,
tumor_010,
tumor_012,
tumor_013,
tumor_014,
tumor_016,
tumor_017,
tumor_018,
tumor_022,
tumor_023,
tumor_026,
tumor_028,
tumor_029,
tumor_030,
tumor_031,
tumor_032,
tumor_033,
tumor_034,
tumor_035,
tumor_036,
tumor_038,
tumor_039,
tumor_040,
tumor_041,
tumor_042,
tumor_044,
tumor_045,
tumor_049,
tumor_051,
tumor_052,
tumor_053,
tumor_055,
tumor_056,
tumor_057,
tumor_058,
tumor_059,
tumor_062,
tumor_063,
tumor_064,
tumor_065,
tumor_066,
tumor_067,
tumor_069,
tumor_070,
tumor_072,
tumor_074,
tumor_075,
tumor_076,
tumor_078,
tumor_079,
tumor_082,
tumor_084,
tumor_085,
tumor_090,
tumor_091,
tumor_092,
tumor_094,
tumor_095,
tumor_096,
tumor_098,
tumor_099,
tumor_100,
tumor_101,
tumor_102,
tumor_103,
tumor_104,
tumor_105,
tumor_109,
tumor_110,
tumor_111,
