train,val
normal_001,normal_006
normal_002,normal_008
normal_003,normal_011
normal_004,normal_014
normal_007,normal_031
normal_009,normal_036
normal_010,normal_038
normal_012,normal_040
normal_013,normal_041
normal_015,normal_048
normal_018,normal_049
normal_020,normal_051
normal_022,normal_052
normal_023,normal_054
normal_024,normal_061
normal_025,normal_062
normal_026,normal_063
normal_028,normal_064
normal_029,normal_065
normal_030,normal_067
normal_032,normal_070
normal_033,normal_071
normal_034,normal_074
normal_035,normal_076
normal_037,normal_077
normal_039,normal_080
normal_043,normal_081
normal_044,normal_085
normal_046,normal_093
normal_047,normal_096
normal_050,normal_097
normal_053,normal_102
normal_055,normal_104
normal_056,normal_105
normal_057,normal_107
normal_058,normal_108
normal_059,normal_119
normal_060,normal_120
normal_066,normal_121
normal_068,normal_126
normal_069,normal_128
normal_072,normal_129
normal_073,normal_131
normal_075,normal_148
normal_078,normal_151
normal_079,normal_153
normal_082,normal_154
normal_083,normal_156
normal_084,normal_157
normal_087,normal_159
normal_088,tumor_002
normal_089,tumor_003
normal_090,tumor_007
normal_091,tumor_008
normal_092,tumor_012
normal_094,tumor_016
normal_095,tumor_017
normal_098,tumor_022
normal_099,tumor_028
normal_100,tumor_034
normal_101,tumor_035
normal_103,tumor_038
normal_106,tumor_039
normal_109,tumor_040
normal_110,tumor_041
normal_111,tumor_042
normal_112,tumor_044
normal_113,tumor_045
normal_114,tumor_049
normal_115,tumor_052
normal_116,tumor_057
normal_117,tumor_058
normal_118,tumor_066
normal_122,tumor_072
normal_123,tumor_074
normal_124,tumor_078
normal_125,tumor_079
normal_127,tumor_082
normal_130,tumor_084
normal_132,tumor_094
normal_133,tumor_095
normal_134,tumor_098
normal_135,tumor_102
normal_136,tumor_103
normal_137,tumor_105
normal_138,tumor_109
normal_139,tumor_111
normal_140,
normal_141,
normal_142,
normal_143,
normal_144,
normal_145,
normal_146,
normal_147,
normal_149,
normal_150,
normal_152,
normal_155,
normal_158,
normal_160,
tumor_001,
tumor_004,
tumor_005,
tumor_006,
tumor_009,
tumor_010,
tumor_011,
tumor_013,
tumor_014,
tumor_015,
tumor_018,
tumor_019,
tumor_020,
tumor_021,
tumor_023,
tumor_024,
tumor_025,
tumor_026,
tumor_027,
tumor_029,
tumor_030,
tumor_031,
tumor_032,
tumor_033,
tumor_036,
tumor_037,
tumor_043,
tumor_046,
tumor_047,
tumor_048,
tumor_050,
tumor_051,
tumor_053,
tumor_054,
tumor_055,
tumor_056,
tumor_059,
tumor_060,
tumor_061,
tumor_062,
tumor_063,
tumor_064,
tumor_065,
tumor_067,
tumor_068,
tumor_069,
tumor_070,
tumor_071,
tumor_073,
tumor_075,
tumor_076,
tumor_077,
tumor_080,
tumor_081,
tumor_083,
tumor_085,
tumor_086,
tumor_087,
tumor_088,
tumor_089,
tumor_090,
tumor_091,
tumor_092,
tumor_093,
tumor_096,
tumor_097,
tumor_099,
tumor_100,
tumor_101,
tumor_104,
tumor_106,
tumor_107,
tumor_108,
tumor_110,
