filename,slide_id,patient_id,x,y
normal_001_31168_86336.jpg,normal_001,normal_001,31168,86336
normal_001_57152_100032.jpg,normal_001,normal_001,57152,100032
normal_002_51264_139200.jpg,normal_002,normal_002,51264,139200
normal_002_67648_139200.jpg,normal_002,normal_002,67648,139200
normal_003_17344_50176.jpg,normal_003,normal_003,17344,50176
normal_003_17344_66560.jpg,normal_003,normal_003,17344,66560
normal_003_27712_95296.jpg,normal_003,normal_003,27712,95296
normal_003_39040_58368.jpg,normal_003,normal_003,39040,58368
normal_003_44096_95296.jpg,normal_003,normal_003,44096,95296
normal_003_53760_63552.jpg,normal_003,normal_003,53760,63552
normal_003_53760_79936.jpg,normal_003,normal_003,53760,79936
normal_004_19200_65600.jpg,normal_004,normal_004,19200,65600
normal_006_53376_23040.jpg,normal_006,normal_006,53376,23040
normal_007_33024_103872.jpg,normal_007,normal_007,33024,103872
normal_007_33024_120256.jpg,normal_007,normal_007,33024,120256
normal_007_49408_103872.jpg,normal_007,normal_007,49408,103872
normal_008_25792_121344.jpg,normal_008,normal_008,25792,121344
normal_009_21952_155904.jpg,normal_009,normal_009,21952,155904
normal_009_38336_139520.jpg,normal_009,normal_009,38336,139520
normal_009_38336_155904.jpg,normal_009,normal_009,38336,155904
normal_009_57152_119040.jpg,normal_009,normal_009,57152,119040
normal_009_57152_135424.jpg,normal_009,normal_009,57152,135424
normal_009_73536_119040.jpg,normal_009,normal_009,73536,119040
normal_009_73536_135424.jpg,normal_009,normal_009,73536,135424
normal_009_73536_151808.jpg,normal_009,normal_009,73536,151808
normal_010_36608_134592.jpg,normal_010,normal_010,36608,134592
normal_010_64576_141120.jpg,normal_010,normal_010,64576,141120
normal_011_19456_142336.jpg,normal_011,normal_011,19456,142336
normal_011_21632_142464.jpg,normal_011,normal_011,21632,142464
normal_011_38016_142464.jpg,normal_011,normal_011,38016,142464
normal_011_38016_158848.jpg,normal_011,normal_011,38016,158848
normal_011_40960_65792.jpg,normal_011,normal_011,40960,65792
normal_011_54400_142464.jpg,normal_011,normal_011,54400,142464
normal_011_54400_158848.jpg,normal_011,normal_011,54400,158848
normal_011_54400_175232.jpg,normal_011,normal_011,54400,175232
normal_011_54528_88768.jpg,normal_011,normal_011,54528,88768
normal_011_57344_65792.jpg,normal_011,normal_011,57344,65792
normal_011_70784_142464.jpg,normal_011,normal_011,70784,142464
normal_011_70784_158848.jpg,normal_011,normal_011,70784,158848
normal_011_70784_175232.jpg,normal_011,normal_011,70784,175232
normal_011_7680_127232.jpg,normal_011,normal_011,7680,127232
normal_012_16000_146432.jpg,normal_012,normal_012,16000,146432
normal_012_16000_162816.jpg,normal_012,normal_012,16000,162816
normal_012_32384_162816.jpg,normal_012,normal_012,32384,162816
normal_013_47936_128064.jpg,normal_013,normal_013,47936,128064
normal_014_25792_159808.jpg,normal_014,normal_014,25792,159808
normal_014_67072_143872.jpg,normal_014,normal_014,67072,143872
normal_015_20992_127040.jpg,normal_015,normal_015,20992,127040
normal_015_37376_127040.jpg,normal_015,normal_015,37376,127040
normal_015_46656_96640.jpg,normal_015,normal_015,46656,96640
normal_015_63040_113024.jpg,normal_015,normal_015,63040,113024
normal_015_63040_96640.jpg,normal_015,normal_015,63040,96640
normal_018_16256_120960.jpg,normal_018,normal_018,16256,120960
normal_018_57728_90432.jpg,normal_018,normal_018,57728,90432
normal_018_74112_106816.jpg,normal_018,normal_018,74112,106816
normal_020_33216_75648.jpg,normal_020,normal_020,33216,75648
normal_022_20160_78400.jpg,normal_022,normal_022,20160,78400
normal_022_20160_94784.jpg,normal_022,normal_022,20160,94784
normal_022_44224_101312.jpg,normal_022,normal_022,44224,101312
normal_022_54528_131840.jpg,normal_022,normal_022,54528,131840
normal_022_70912_148224.jpg,normal_022,normal_022,70912,148224
normal_022_70912_164608.jpg,normal_022,normal_022,70912,164608
normal_023_31488_156672.jpg,normal_023,normal_023,31488,156672
normal_023_35328_69184.jpg,normal_023,normal_023,35328,69184
normal_024_24320_174016.jpg,normal_024,normal_024,24320,174016
normal_024_24576_85888.jpg,normal_024,normal_024,24576,85888
normal_024_40704_174016.jpg,normal_024,normal_024,40704,174016
normal_024_40960_85888.jpg,normal_024,normal_024,40960,85888
normal_024_7936_174016.jpg,normal_024,normal_024,7936,174016
normal_024_8192_85888.jpg,normal_024,normal_024,8192,85888
normal_025_13888_123264.jpg,normal_025,normal_025,13888,123264
normal_025_13888_139648.jpg,normal_025,normal_025,13888,139648
normal_025_13888_156032.jpg,normal_025,normal_025,13888,156032
normal_025_28800_99648.jpg,normal_025,normal_025,28800,99648
normal_025_30272_139648.jpg,normal_025,normal_025,30272,139648
normal_025_46144_94848.jpg,normal_025,normal_025,46144,94848
normal_026_11776_143360.jpg,normal_026,normal_026,11776,143360
normal_026_28160_143360.jpg,normal_026,normal_026,28160,143360
normal_026_46528_142848.jpg,normal_026,normal_026,46528,142848
normal_026_46528_159232.jpg,normal_026,normal_026,46528,159232
normal_026_7936_115328.jpg,normal_026,normal_026,7936,115328
normal_028_17408_135872.jpg,normal_028,normal_028,17408,135872
normal_028_31168_89600.jpg,normal_028,normal_028,31168,89600
normal_028_47552_105984.jpg,normal_028,normal_028,47552,105984
normal_028_50944_141824.jpg,normal_028,normal_028,50944,141824
normal_028_63936_105984.jpg,normal_028,normal_028,63936,105984
normal_029_37824_115200.jpg,normal_029,normal_029,37824,115200
normal_030_16832_105792.jpg,normal_030,normal_030,16832,105792
